season,week,set_id,set_name,set_userid,n_players,n_positions,positions,is_bottom_line,selected
2023,1,4144,Sigmund Bloom,10598,290,4,"QB,RB,TE,WR",FALSE,TRUE
2023,1,4155,Jason Wood,271,319,4,"QB,RB,TE,WR",FALSE,TRUE
2023,1,4167,Maurile Tremblay,268,324,4,"QB,RB,TE,WR",FALSE,TRUE
2023,1,4305,Justin Freeman,725315,245,4,"QB,RB,TE,WR",FALSE,TRUE
2023,1,4306,Projections Consensus,-1,344,4,"QB,RB,TE,WR",FALSE,TRUE
2023,1,4307,Bottom Line Consensus,0,346,4,"QB,RB,TE,WR",TRUE,FALSE
2023,1,3900,Adam Harstad,10768,35,2,"RB,WR",FALSE,FALSE
2023,1,3901,Projections Consensus,-1,35,2,"RB,WR",FALSE,FALSE
2023,1,3902,Bottom Line Consensus,0,35,2,"RB,WR",TRUE,FALSE
2023,2,4829,Sigmund Bloom,10598,183,4,"QB,RB,TE,WR",FALSE,TRUE
2023,2,4894,Maurile Tremblay,268,233,4,"QB,RB,TE,WR",FALSE,TRUE
2023,2,4906,Jason Wood,271,254,4,"QB,RB,TE,WR",FALSE,TRUE
2023,2,4934,Justin Freeman,725315,261,4,"QB,RB,TE,WR",FALSE,TRUE
2023,2,4935,Projections Consensus,-1,271,4,"QB,RB,TE,WR",FALSE,TRUE
2023,2,4940,Bottom Line Consensus,0,272,4,"QB,RB,TE,WR",TRUE,FALSE
2023,2,4320,Adam Harstad,10768,30,2,"RB,WR",FALSE,FALSE
2023,2,4321,Projections Consensus,-1,30,2,"RB,WR",FALSE,FALSE
2023,2,4322,Bottom Line Consensus,0,35,2,"RB,WR",TRUE,FALSE
2023,3,5562,Sigmund Bloom,10598,191,4,"QB,RB,TE,WR",FALSE,TRUE
2023,3,5580,Jason Wood,271,249,4,"QB,RB,TE,WR",FALSE,TRUE
2023,3,5679,Maurile Tremblay,268,228,4,"QB,RB,TE,WR",FALSE,TRUE
2023,3,5867,Justin Freeman,725315,260,4,"QB,RB,TE,WR",FALSE,TRUE
2023,3,5868,Projections Consensus,-1,274,4,"QB,RB,TE,WR",FALSE,TRUE
2023,3,5869,Bottom Line Consensus,0,275,4,"QB,RB,TE,WR",TRUE,FALSE
2023,3,5035,Adam Harstad,10768,30,2,"RB,WR",FALSE,FALSE
2023,3,5036,Projections Consensus,-1,30,2,"RB,WR",FALSE,FALSE
2023,3,5037,Bottom Line Consensus,0,30,2,"RB,WR",TRUE,FALSE
2023,4,6358,Sigmund Bloom,10598,187,4,"QB,RB,TE,WR",FALSE,TRUE
2023,4,6364,Jason Wood,271,258,4,"QB,RB,TE,WR",FALSE,TRUE
2023,4,6479,Maurile Tremblay,268,229,4,"QB,RB,TE,WR",FALSE,TRUE
2023,4,6514,Justin Freeman,725315,258,4,"QB,RB,TE,WR",FALSE,TRUE
2023,4,6515,Projections Consensus,-1,273,4,"QB,RB,TE,WR",FALSE,TRUE
2023,4,6517,Bottom Line Consensus,0,279,4,"QB,RB,TE,WR",TRUE,FALSE
2023,4,5801,Adam Harstad,10768,30,2,"RB,WR",FALSE,FALSE
2023,4,5802,Projections Consensus,-1,30,2,"RB,WR",FALSE,FALSE
2023,4,5803,Bottom Line Consensus,0,30,2,"RB,WR",TRUE,FALSE
2023,5,7116,Jason Wood,271,214,4,"QB,RB,TE,WR",FALSE,TRUE
2023,5,7135,Sigmund Bloom,10598,164,4,"QB,RB,TE,WR",FALSE,TRUE
2023,5,7151,Maurile Tremblay,268,210,4,"QB,RB,TE,WR",FALSE,TRUE
2023,5,7157,Justin Freeman,725315,226,4,"QB,RB,TE,WR",FALSE,TRUE
2023,5,7158,Projections Consensus,-1,235,4,"QB,RB,TE,WR",FALSE,TRUE
2023,5,7160,Bottom Line Consensus,0,243,4,"QB,RB,TE,WR",TRUE,FALSE
2023,5,6672,Adam Harstad,10768,27,2,"RB,WR",FALSE,FALSE
2023,5,6673,Projections Consensus,-1,27,2,"RB,WR",FALSE,FALSE
2023,5,6674,Bottom Line Consensus,0,27,2,"RB,WR",TRUE,FALSE
2023,6,7690,Maurile Tremblay,268,219,4,"QB,RB,TE,WR",FALSE,TRUE
2023,6,7696,Jason Wood,271,225,4,"QB,RB,TE,WR",FALSE,TRUE
2023,6,7702,Sigmund Bloom,10598,173,4,"QB,RB,TE,WR",FALSE,TRUE
2023,6,7732,Justin Freeman,725315,238,4,"QB,RB,TE,WR",FALSE,TRUE
2023,6,7733,Projections Consensus,-1,250,4,"QB,RB,TE,WR",FALSE,TRUE
2023,6,7735,Bottom Line Consensus,0,254,4,"QB,RB,TE,WR",TRUE,FALSE
2023,6,7295,Adam Harstad,10768,27,2,"RB,WR",FALSE,FALSE
2023,6,7296,Projections Consensus,-1,27,2,"RB,WR",FALSE,FALSE
2023,6,7297,Bottom Line Consensus,0,27,2,"RB,WR",TRUE,FALSE
2023,7,8043,Jason Wood,271,207,4,"QB,RB,TE,WR",FALSE,TRUE
2023,7,8163,Sigmund Bloom,10598,149,4,"QB,RB,TE,WR",FALSE,TRUE
2023,7,8204,Maurile Tremblay,268,196,4,"QB,RB,TE,WR",FALSE,TRUE
2023,7,8226,Justin Freeman,725315,212,4,"QB,RB,TE,WR",FALSE,TRUE
2023,7,8227,Projections Consensus,-1,223,4,"QB,RB,TE,WR",FALSE,TRUE
2023,7,8229,Bottom Line Consensus,0,226,4,"QB,RB,TE,WR",TRUE,FALSE
2023,7,7860,Adam Harstad,10768,23,2,"RB,WR",FALSE,FALSE
2023,7,7862,Projections Consensus,-1,23,2,"RB,WR",FALSE,FALSE
2023,7,7863,Bottom Line Consensus,0,23,2,"RB,WR",TRUE,FALSE
2023,8,8618,Sigmund Bloom,10598,183,4,"QB,RB,TE,WR",FALSE,TRUE
2023,8,8699,Maurile Tremblay,268,230,4,"QB,RB,TE,WR",FALSE,TRUE
2023,8,8738,Jason Wood,271,239,4,"QB,RB,TE,WR",FALSE,TRUE
2023,8,8764,Justin Freeman,725315,250,4,"QB,RB,TE,WR",FALSE,TRUE
