season,week,fbg_id,player_name,position,fbg_team,resolved_team,gsis_id,match_method,candidate_count
2023,1,AlleJo01,Josh Allen,QB,BUF,BUF,00-0033523,pfr_crosswalk,1
2023,1,AlleKy00,Kyle Allen,QB,BUF,BUF,00-0034577,pfr_crosswalk,1
2023,1,YounBr01,Bryce Young,QB,CAR,CAR,00-0039150,pfr_crosswalk,1
2023,1,DaltAn00,Andy Dalton,QB,PHI,CAR,00-0027973,pfr_crosswalk,1
2023,1,FielJu00,Justin Fields,QB,KC,CHI,00-0036945,pfr_crosswalk,1
2023,1,BageTy00,Tyson Bagent,QB,CHI,CHI,00-0038416,pfr_crosswalk,1
2023,1,BurrJo01,Joe Burrow,QB,CIN,CIN,00-0036442,pfr_crosswalk,1
2023,1,WatsDe00,Deshaun Watson,QB,CLE,CLE,00-0033537,pfr_crosswalk,1
2023,1,RichAn00,Anthony Richardson Sr.,QB,IND,IND,00-0039164,weekly_roster_name_position_team,1
2023,1,MinsGa00,Gardner Minshew II,QB,ARI,IND,00-0035289,pfr_crosswalk,1
2023,1,DobbJo00,Joshua Dobbs,QB,DET,ARI,00-0033949,pfr_crosswalk,1
2023,1,MurrKy00,Kyler Murray,QB,MIN,ARI,00-0035228,pfr_crosswalk,1
2023,1,PresDa01,Dak Prescott,QB,DAL,DAL,00-0033077,pfr_crosswalk,1
2023,1,RushCo00,Cooper Rush,QB,ATL,DAL,00-0033662,pfr_crosswalk,1
2023,1,LancTr00,Trey Lance,QB,LAC,DAL,00-0037012,pfr_crosswalk,1
2023,1,StidJa00,Jarrett Stidham,QB,DEN,DEN,00-0035264,pfr_crosswalk,1
2023,1,GoffJa00,Jared Goff,QB,DET,DET,00-0033106,pfr_crosswalk,1
2023,1,LoveJo01,Jordan Love,QB,GB,GB,00-0036264,weekly_roster_name_position_team,1
2023,1,ClifSe00,Sean Clifford,QB,CIN,GB,00-0038391,pfr_crosswalk,1
2023,1,StroCJ00,C.J. Stroud,QB,HOU,HOU,00-0039163,pfr_crosswalk,1
2023,1,MillDa00,Davis Mills,QB,HOU,HOU,00-0036898,weekly_roster_name_position_team,1
2023,1,KeenCa00,Case Keenum,QB,CHI,HOU,00-0028986,pfr_crosswalk,1
2023,1,LawrTr00,Trevor Lawrence,QB,JAX,JAX,00-0036971,pfr_crosswalk,1
2023,1,MahoPa00,Patrick Mahomes II,QB,KC,KC,00-0033873,pfr_crosswalk,1
2023,1,TagoTu00,Tua Tagovailoa,QB,ATL,MIA,00-0036212,pfr_crosswalk,1
2023,1,ThomSk00,Skylar Thompson,QB,BAL,MIA,00-0037327,pfr_crosswalk,1
2023,1,CousKi00,Kirk Cousins,QB,LV,MIN,00-0029604,pfr_crosswalk,1
2023,1,MullNi00,Nick Mullens,QB,JAX,MIN,00-0033319,pfr_crosswalk,1
2023,1,WinsJa00,Jameis Winston,QB,NYG,NO,00-0031503,pfr_crosswalk,1
2023,1,JoneMa04,Mac Jones,QB,SF,SF,00-0031939,pfr_crosswalk,1
2023,1,ZappBa00,Bailey Zappe,QB,NYJ,NE,00-0038108,pfr_crosswalk,1
2023,1,JoneDa05,Daniel Jones,QB,IND,NYG,00-0035710,pfr_crosswalk,1
2023,1,TaylTy00,Tyrod Taylor,QB,GB,NYG,00-0028118,pfr_crosswalk,1
2023,1,DeviTo00,Tommy DeVito,QB,NE,NYG,00-0038476,weekly_name_position,1
2023,1,RodgAa00,Aaron Rodgers,QB,PIT,NYJ,00-0023459,pfr_crosswalk,1
2023,1,WilsZa00,Zach Wilson,QB,NO,NYJ,00-0037013,pfr_crosswalk,1
2023,1,WillMa05,Malik Willis,QB,MIA,TEN,00-0038128,weekly_name_position,1
2023,1,HurtJa00,Jalen Hurts,QB,PHI,PHI,00-0036389,pfr_crosswalk,1
2023,1,MariMa01,Marcus Mariota,QB,WAS,PHI,00-0032268,pfr_crosswalk,1
2023,1,PickKe00,Kenny Pickett,QB,CAR,PIT,00-0038102,pfr_crosswalk,1
2023,1,TrubMi00,Mitchell Trubisky,QB,TEN,PIT,00-0033869,pfr_crosswalk,1
2023,1,OConAi01,Aidan O'Connell,QB,LV,LV,00-0038579,weekly_roster_name_position_team,1
2023,1,StafMa00,Matthew Stafford,QB,LA,LA,00-0026498,pfr_crosswalk,1
2023,1,BennSt00,Stetson Bennett IV,QB,LA,LA,00-0039107,pfr_crosswalk,1
2023,1,JackLa00,Lamar Jackson,QB,BAL,BAL,00-0034796,pfr_crosswalk,1
2023,1,HuntTy00,Tyler Huntley,QB,BAL,BAL,00-0035993,weekly_roster_name_position_team,1
2023,1,HerbJu00,Justin Herbert,QB,LAC,LAC,00-0036355,pfr_crosswalk,1
2023,1,SticEa00,Easton Stick,QB,TB,LAC,00-0035282,pfr_crosswalk,1
2023,1,SmitGe01,Geno Smith,QB,NYJ,SEA,00-0030565,weekly_name_position,1
2023,1,LockDr00,Drew Lock,QB,SEA,SEA,00-0035704,pfr_crosswalk,1
2023,1,PurdBr00,Brock Purdy,QB,SF,SF,00-0037834,pfr_crosswalk,1
2023,1,DarnSa00,Sam Darnold,QB,SEA,SF,00-0034869,pfr_crosswalk,1
2023,1,MayfBa00,Baker Mayfield,QB,TB,TB,00-0034855,pfr_crosswalk,1
2023,1,HoweSa00,Sam Howell,QB,DAL,WAS,00-0037077,pfr_crosswalk,1
2023,1,BrisJa00,Jacoby Brissett,QB,ARI,WAS,00-0033119,pfr_crosswalk,1
2023,1,RobiBi01,Bijan Robinson,RB,ATL,ATL,00-0038542,pfr_crosswalk,1
2023,1,AllgTy00,Tyler Allgeier,RB,ARI,ATL,00-0037263,pfr_crosswalk,1
2023,1,CookJa05,James Cook III,RB,BUF,BUF,00-0037248,weekly_roster_name_position_team,1
2023,1,GillRe00,Reggie Gilliam,RB,NE,BUF,00-0036187,pfr_crosswalk,1
2023,1,HubbCh00,Chuba Hubbard,RB,CAR,CAR,00-0036555,weekly_roster_name_position_team,1
2023,1,JohnRo07,Roschon Johnson,RB,CHI,CHI,00-0039021,pfr_crosswalk,1
2023,1,HomeTr00,Travis Homer,RB,PIT,CHI,00-0035594,pfr_crosswalk,1
2023,1,JoneVe00,Velus Jones Jr,RB,SEA,CHI,00-0037745,pfr_crosswalk,1
2023,1,BrowCh06,Chase Brown,RB,CIN,CIN,00-0038597,weekly_roster_name_position_team,1
2023,1,StroPi00,Pierre Strong Jr,RB,GB,CLE,00-0038098,pfr_crosswalk,1
2023,1,HullEv00,Evan Hull,RB,ARI,IND,00-0038397,pfr_crosswalk,1
2023,1,TaylJo02,Jonathan Taylor,RB,IND,IND,00-0036223,pfr_crosswalk,1
2023,1,ConnJa00,James Conner,RB,ARI,ARI,00-0033553,pfr_crosswalk,1
2023,1,DemeEm00,Emari Demercado,RB,DAL,ARI,00-0038705,pfr_crosswalk,1
2023,1,PollTo01,Tony Pollard,RB,TEN,DAL,00-0035261,weekly_name_position,1
2023,1,DowdDa00,Rico Dowdle,RB,PIT,DAL,00-0036139,weekly_name_position,1
2023,1,LuepHu01,Hunter Luepke,RB,DAL,DAL,00-0038738,weekly_roster_name_position_team,1
2023,1,WillJa08,Javonte Williams,RB,DAL,DEN,00-0036997,weekly_name_position,1
2023,1,PeriSa00,Samaje Perine,RB,CIN,DEN,00-0033526,pfr_crosswalk,1
2023,1,McLaJa00,Jaleel McLaughlin,RB,CLE,DEN,00-0038794,pfr_crosswalk,1
2023,1,BadiTy00,Tyler Badie,RB,DEN,DEN,00-0037085,pfr_crosswalk,1
2023,1,BurtMi00,Michael Burton,RB,CLE,DEN,00-0031595,pfr_crosswalk,1
2023,1,GibbJa00,Jahmyr Gibbs,RB,DET,DET,00-0037596,pfr_crosswalk,1
2023,1,MontDa01,David Montgomery,RB,HOU,DET,00-0035685,pfr_crosswalk,1
2023,1,ReynCr00,Craig Reynolds,RB,WAS,DET,00-0035567,pfr_crosswalk,1
2023,1,JoneAa00,Aaron Jones Sr.,RB,MIN,GB,00-0033293,pfr_crosswalk,1
2023,1,DillA.00,AJ Dillon,RB,CAR,GB,00-0036265,weekly_name_position,1
2023,1,WilsEm00,Emanuel Wilson,RB,SEA,GB,00-0038797,pfr_crosswalk,1
2023,1,PierDa01,Dameon Pierce,RB,PHI,HOU,00-0037258,pfr_crosswalk,1
2023,1,SingDe00,Devin Singletary,RB,NYG,HOU,00-0035250,pfr_crosswalk,1
2023,1,OgunDa00,Dare Ogunbowale,RB,LV,HOU,00-0033854,pfr_crosswalk,1
2023,1,EtieTr00,Travis Etienne Jr.,RB,NO,JAX,00-0036973,pfr_crosswalk,1
2023,1,BigsTa00,Tank Bigsby,RB,PHI,JAX,00-0038555,pfr_crosswalk,1
2023,1,PachIs00,Isiah Pacheco,RB,DET,KC,00-0037197,pfr_crosswalk,1
2023,1,AchaDe00,De'Von Achane,RB,MIA,MIA,00-0039040,pfr_crosswalk,1
2023,1,AhmeSa00,Salvon Ahmed,RB,CHI,MIA,00-0036020,weekly_name_position,1
2023,1,IngoAl00,Alec Ingold,RB,LAC,MIA,00-0035125,weekly_name_position,1
2023,1,BrooCh02,Christopher Brooks,RB,MIA,MIA,00-0038685,weekly_roster_name_position_team,1
