scoring_format,scoring_contract_version,rows_checked,max_abs_difference,rows_with_receiving_first_downs,receiving_first_down_points_used,tight_end_reception_bonus_used,season
PPR,ppr_v1,5320,3.5527136788005e-15,2649,0,0,2012
PPR,ppr_v1,5251,3.5527136788005e-15,2640,0,0,2013
PPR,ppr_v1,5412,3.5527136788005e-15,2767,0,0,2014
PPR,ppr_v1,5423,3.5527136788005e-15,2747,0,0,2015
PPR,ppr_v1,5413,3.5527136788005e-15,2847,0,0,2016
PPR,ppr_v1,5448,3.5527136788005e-15,2770,0,0,2017
PPR,ppr_v1,5363,3.5527136788005e-15,2794,0,0,2018
PPR,ppr_v1,5411,3.5527136788005e-15,2761,0,0,2019
PPR,ppr_v1,5543,3.5527136788005e-15,2867,0,0,2020
PPR,ppr_v1,5527,3.5527136788005e-15,2815,0,0,2021
PPR,ppr_v1,5461,3.5527136788005e-15,2645,0,0,2022
PPR,ppr_v1,5464,3.5527136788005e-15,2678,0,0,2023
PPR,ppr_v1,5521,3.5527136788005e-15,2648,0,0,2024
PPR,ppr_v1,5687,3.5527136788005e-15,2641,0,0,2025
