"away_team","home_team","n_simulations","expected_margin","median_margin","p15_margin","p85_margin","away_win_probability","home_win_probability","tie_probability","predicted_winner"
"NE","SEA",100,2.23326256616939,1.5,-14.15,17,0.43,0.54,0.03,"SEA"
"SF","LA",100,-2.82019321632722e-15,0,-16,14,0.47,0.48,0.05,"SF"
"CHI","CAR",100,5.25546975609915,6,-12,19,0.3,0.67,0.03,"CAR"
"TB","CIN",100,4.30053406336482,6,-9.15,18.15,0.34,0.62,0.04,"CIN"
"NO","DET",100,2.73409815504218,3,-12.15,16.15,0.44,0.54,0.02,"DET"
"BUF","HOU",100,-0.133678736589627,0.5,-16,19,0.49,0.5,0.01,"HOU"
"BAL","IND",100,-0.607598437439225,2,-13,12.15,0.41,0.55,0.04,"IND"
"CLE","JAX",100,6.48550395592296,7,-7,23.15,0.26,0.69,0.05,"JAX"
"ATL","PIT",100,6.78104728388022,6,-6.15,19.15,0.25,0.73,0.02,"PIT"
"NYJ","TEN",100,1.45998567169607,5,-9.15,20.15,0.4,0.59,0.01,"TEN"
"ARI","LAC",100,11.5008936132979,12.5,-4,30,0.19,0.77,0.04,"LAC"
"MIA","LV",100,6.12878247133228,2.5,-7.15,22,0.35,0.61,0.04,"LV"
"GB","MIN",100,6.7776085525416,8.5,-6,22.15,0.29,0.69,0.02,"MIN"
"WAS","PHI",100,5.20301347258823,2.5,-12,18,0.44,0.53,0.03,"PHI"
"DAL","NYG",100,3.42981602723267,3,-10.15,18.15,0.38,0.59,0.03,"NYG"
"DEN","KC",100,1.20489432875857,1,-13.15,14,0.46,0.52,0.02,"KC"
