"player_id","player_name","position","team","week","n_simulations","mean","median","floor","ceiling","p15","p85","probability_zero","probability_active","active_mean","active_p15","active_p85"
"BurrJo01","Joe Burrow","QB","CIN",1,100,23.509,24.03,13.92,32.84,13.92,32.84,0,1,23.509,13.92,32.84
"JackLa00","Lamar Jackson","QB","BAL",1,100,23.223,20.62,13.92,33.48,13.92,33.48,0,1,23.223,13.92,33.48
"StafMa00","Matthew Stafford","QB","LAR",1,100,23.1092,23.07,14.358,32.961,14.358,32.961,0,1,23.1092,14.358,32.961
"HurtJa00","Jalen Hurts","QB","PHI",1,100,21.3977,21.24,11.6,29.445,11.6,29.445,0,1,21.3977,11.6,29.445
"AlleJo01","Josh Allen","QB","BUF",1,100,21.3514,20.76,11.473,32.94,11.473,32.94,0,1,21.3514,11.473,32.94
"MayfBa00","Baker Mayfield","QB","TB",1,100,21.2623,21.52,10.531,29.942,10.531,29.942,0,1,21.2623,10.531,29.942
"McCaCh00","Christian McCaffrey","RB","SF",1,100,20.931,19.25,8.2,30.57,8.2,30.57,0,1,20.931,8.2,30.57
"GoffJa00","Jared Goff","QB","DET",1,100,20.916,20.71,12.72,29.491,12.72,29.491,0,1,20.916,12.72,29.491
"DaniJa00","Jayden Daniels","QB","WAS",1,100,20.496,18.79,9.5,30.18,9.5,30.18,0,1,20.496,9.5,30.18
"HerbJu00","Justin Herbert","QB","LAC",1,100,19.7455,18.85,11.354,28.92,11.354,28.92,0,1,19.7455,11.354,28.92
"GibbJa00","Jahmyr Gibbs","RB","DET",1,100,19.6774,19.25,7.68,29.8,7.68,29.8,0,1,19.6774,7.68,29.8
"MurrKy00","Kyler Murray","QB","MIN",1,100,19.4498,17.87,9.972,29.22,9.972,29.22,0,1,19.4498,9.972,29.22
"PresDa01","Dak Prescott","QB","DAL",1,100,19.1828,18.38,10.531,28.146,10.531,28.146,0,1,19.1828,10.531,28.146
"LawrTr00","Trevor Lawrence","QB","JAX",1,100,19.0363,18.15,9.757,27.421,9.757,27.421,0,1,19.0363,9.757,27.421
"DartJa00","Jaxson Dart","QB","NYG",1,100,18.9384,19.36,6.682,30.433,6.682,30.433,0,1,18.9384,6.682,30.433
"WillCa01","Caleb Williams","QB","CHI",1,100,18.7533,18.36,9.93,26.7,9.93,26.7,0,1,18.7533,9.93,26.7
"TaylJo02","Jonathan Taylor","RB","IND",1,100,18.75,16.9,7.3,30.055,7.3,30.055,0,1,18.75,7.3,30.055
"PurdBr00","Brock Purdy","QB","SF",1,100,18.4145,18.26,10.085,26.76,10.085,26.76,0,1,18.4145,10.085,26.76
"BarkSa00","Saquon Barkley","RB","PHI",1,100,18.234,16.65,7.9,29.855,7.9,29.855,0,1,18.234,7.9,29.855
"MayeDr00","Drake Maye","QB","NE",1,100,17.9301,17.33,9.44,26.56,9.44,26.56,0,1,17.9301,9.44,26.56
"RodgAa00","Aaron Rodgers","QB","PIT",1,100,17.9239,17.53,7.967,27.76,7.967,27.76,0,1,17.9239,7.967,27.76
"DarnSa00","Sam Darnold","QB","SEA",1,100,17.2756,17.1,9.584,25.023,9.584,25.023,0,1,17.2756,9.584,25.023
"ShouTy00","Tyler Shough","QB","NO",1,100,17.057,16.765,9.7115,25.46,9.7115,25.46,0,1,17.057,9.7115,25.46
"YounBr01","Bryce Young","QB","CAR",1,100,17.035,17.78,7.068,25.4455,7.068,25.4455,0,1,17.035,7.068,25.4455
"WillMa05","Malik Willis","QB","MIA",1,100,16.9673,16.375,9.6795,24.96,9.6795,24.96,0,1,16.9673,9.6795,24.96
"JoneDa05","Daniel Jones","QB","IND",1,100,16.6579,16.41,8.187,26.76,8.187,26.76,0,1,16.6579,8.187,26.76
"ChasJa00","Ja'Marr Chase","WR","CIN",1,100,16.599,16.9,7.6,23.295,7.6,23.295,0,1,16.599,7.6,23.295
"HenrDe00","Derrick Henry","RB","BAL",1,100,16.452,16.15,6.8,25.945,6.8,25.945,0,1,16.452,6.8,25.945
"RobiBi01","Bijan Robinson","RB","ATL",1,100,16.4172,14.8,7.24,25.8,7.24,25.8,0,1,16.4172,7.24,25.8
"NixxBo00","Bo Nix","QB","DEN",1,100,16.3168,16.64,9.584,23.452,9.584,23.452,0,1,16.3168,9.584,23.452
"MahoPa00","Patrick Mahomes II","QB","KC",1,100,16.2862,15.28,9.995,25.172,9.995,25.172,0,1,16.2862,9.995,25.172
"HeywCo00","Connor Heyward","TE","LV",1,100,15.8122,15.375,8.725,24.45,8.725,24.45,0,1,15.8122,8.725,24.45
"TateCa00","Carnell Tate","WR","TEN",1,100,15.79,14.2,6.3,25.8,6.3,25.8,0.02,1,15.79,6.3,25.8
"NacuPu00","Puka Nacua","WR","LAR",1,100,15.675,13.6,5.6,24.7,5.6,24.7,0,1,15.675,5.6,24.7
"HallBr01","Breece Hall","RB","NYJ",1,100,15.567,12.35,8.385,24.435,8.385,24.435,0,1,15.567,8.385,24.435
"PricJa00","Jadarian Price","RB","SEA",1,100,15.53,13.8,7.5,25.645,7.5,25.645,0,1,15.53,7.5,25.645
"SmitJa02","Jaxon Smith-Njigba","WR","SEA",1,100,15.49,13.9,5.87,24.4,5.87,24.4,0,1,15.49,5.87,24.4
"AchaDe00","De'Von Achane","RB","MIA",1,100,15.232,13.2,5.88,23.94,5.88,23.94,0,1,15.232,5.88,23.94
"StroCJ00","C.J. Stroud","QB","HOU",1,100,15.1356,14.85,7.08,23.652,7.08,23.652,0,1,15.1356,7.08,23.652
"BrowCh06","Chase Brown","RB","CIN",1,100,14.934,12.8,6.5,25.5,6.5,25.5,0,1,14.934,6.5,25.5
"WardCa00","Cam Ward","QB","TEN",1,100,14.8914,14.71,5.496,22.44,5.496,22.44,0,1,14.8914,5.496,22.44
"StBrAm00","Amon-Ra St. Brown","WR","DET",1,100,14.8144,13,5.185,23.5,5.185,23.5,0,1,14.8144,5.185,23.5
"AllgTy00","Tyler Allgeier","RB","ARI",1,100,14.68,13.25,6.635,22.56,6.635,22.56,0,1,14.68,6.635,22.56
"PittMi01","Michael Pittman Jr","WR","PIT",1,100,14.661,14.05,6.085,24.7,6.085,24.7,0.02,1,14.661,6.085,24.7
"WalkKe01","Ken Walker III","RB","KC",1,100,14.609,13.15,5.485,25.045,5.485,25.045,0,1,14.609,5.485,25.045
"MendFe00","Fernando Mendoza","QB","LV",1,100,14.4986,14.835,5.014,22.872,5.014,22.872,0,1,14.4986,5.014,22.872
"WillKy02","Kyren Williams","RB","LAR",1,100,14.427,12.4,5.695,24.025,5.695,24.025,0,1,14.427,5.695,24.025
"HampOm00","Omarion Hampton","RB","LAC",1,100,14.201,12.75,5,22.9,5,22.9,0,1,14.201,5,22.9
"BoweBr00","Brock Bowers","TE","LV",1,100,14.1642,14.15,5.4425,22.08,5.4425,22.08,0,1,14.1642,5.4425,22.08
"McBrTr01","Trey McBride","TE","ARI",1,100,14.0235,12.2,5.785,23.8,5.785,23.8,0,1,14.0235,5.785,23.8
"TagoTu00","Tua Tagovailoa","QB","ATL",1,100,13.8649,13.16,4.18,23.06,4.18,23.06,0,1,13.8649,4.18,23.06
"CollNi00","Nico Collins","WR","HOU",1,100,13.591,12.4,4.5,23.615,4.5,23.615,0,1,13.591,4.5,23.615
"LambCe00","CeeDee Lamb","WR","DAL",1,100,13.552,11.6,6,21.3,6,21.3,0,1,13.552,6,21.3
"AdamDa01","Davante Adams","WR","LAR",1,100,13.515,12.25,5.9,23.7,5.9,23.7,0.01,1,13.515,5.9,23.7
"SmitGe01","Geno Smith","QB","NYJ",1,100,13.4398,12.68,5.496,22.839,5.496,22.839,0,1,13.4398,5.496,22.839
"WashMi00","Mike Washington Jr.","RB","LV",1,100,13.399,12.35,5.6,20.9,5.6,20.9,0,1,13.399,5.6,20.9
"OlavCh00","Chris Olave","WR","NO",1,100,13.347,11.15,4.1,23.85,4.1,23.85,0.02,1,13.347,4.1,23.85
"LondDr00","Drake London","WR","ATL",1,100,13.341,12.6,6.84,21.735,6.84,21.735,0.01,1,13.341,6.84,21.735
"MetcDK00","DK Metcalf","WR","PIT",1,100,13.327,12.1,5.94,19.125,5.94,19.125,0.01,1,13.327,5.94,19.125
"WillJa09","Jameson Williams","WR","DET",1,100,13.3148,12.9,4.47,20.495,4.47,20.495,0.02,1,13.3148,4.47,20.495
"BrowAJ00","A.J. Brown","WR","NE",1,100,13.267,12.2,5.18,24.13,5.18,24.13,0.03,1,13.267,5.18,24.13
"EtieTr00","Travis Etienne Jr.","RB","NO",1,100,13.225,12.9,5.025,19.345,5.025,19.345,0,1,13.225,5.025,19.345
"CookJa05","James Cook III","RB","BUF",1,100,13.199,11.85,5.385,20.83,5.385,20.83,0,1,13.199,5.385,20.83
"SmitDe04","DeVonta Smith","WR","PHI",1,100,13.191,10.75,4.34,21.3,4.34,21.3,0.04,1,13.191,4.34,21.3
"WillJa08","Javonte Williams","RB","DAL",1,100,13.191,11.4,5.3,20.83,5.3,20.83,0,1,13.191,5.3,20.83
"WatsDe00","Deshaun Watson","QB","CLE",1,100,13.0813,13.06,2.712,23.6,2.712,23.6,0,1,13.0813,2.712,23.6
"EgbuEm00","Emeka Egbuka","WR","TB",1,100,13.063,12.15,4.485,19.19,4.485,19.19,0.02,1,13.063,4.485,19.19
"JudkQu00","Quinshon Judkins","RB","CLE",1,100,13.042,12.35,5.4,22.125,5.4,22.125,0,1,13.042,5.4,22.125
"JeffJu00","Justin Jefferson","WR","MIN",1,100,12.998,12.6,4.8,19.25,4.8,19.25,0.04,1,12.998,4.8,19.25
"DowdDa00","Rico Dowdle","RB","PIT",1,100,12.978,9.7,3.9,24.715,3.9,24.715,0,1,12.978,3.9,24.715
"IrviBu00","Bucky Irving","RB","TB",1,100,12.894,11.4,5.485,19.375,5.485,19.375,0,1,12.894,5.485,19.375
"PickGe00","George Pickens","WR","DAL",1,100,12.849,11.25,5.655,19.2,5.655,19.2,0.01,1,12.849,5.655,19.2
"MontDa01","David Montgomery","RB","HOU",1,100,12.84,10.3,4.485,21.8,4.485,21.8,0,1,12.84,4.485,21.8
"FlowZa00","Zay Flowers","WR","BAL",1,100,12.835,12.45,5.87,19.6,5.87,19.6,0.02,1,12.835,5.87,19.6
"LoveJo01","Jordan Love","QB","GB",1,100,12.8087,11.95,3.74,23.6,3.74,23.6,0,1,12.8087,3.74,23.6
"NabeMa00","Malik Nabers","WR","NYG",1,100,12.525,10.95,4.4,20.09,4.4,20.09,0.01,1,12.525,4.4,20.09
"SkatCa00","Cam Skattebo","RB","NYG",1,100,12.398,9.6,4.9,21.15,4.9,21.15,0,1,12.398,4.9,21.15
"BrisJa00","Jacoby Brissett","QB","ARI",1,100,12.3174,13.18,0.84,22.7935,0.84,22.7935,0,1,12.3174,0.84,22.7935
"WilsGa00","Garrett Wilson","WR","NYJ",1,100,12.229,11.3,3.685,19.315,3.685,19.315,0.03,1,12.229,3.685,19.315
"HubbCh00","Chuba Hubbard","RB","CAR",1,100,12.163,9.15,4.3,23.1,4.3,23.1,0,1,12.163,4.3,23.1
"DobbJ.00","J.K. Dobbins","RB","DEN",1,100,12.129,9.5,4.285,23.445,4.285,23.445,0,1,12.129,4.285,23.445
"MasoJo00","Jordan Mason","RB","MIN",1,100,12.074,9.75,4.64,20.605,4.64,20.605,0,1,12.074,4.64,20.605
"McMiTe00","Tetairoa McMillan","WR","CAR",1,100,12.011,10.7,4.8,18.6,4.8,18.6,0.03,1,12.011,4.8,18.6
"OdunRo00","Rome Odunze","WR","CHI",1,100,11.9204,10.45,4.385,19.045,4.385,19.045,0.01,1,11.9204,4.385,19.045
"McCoLa00","Ladd McConkey","WR","LAC",1,100,11.855,11.9,4.21,19.875,4.21,19.875,0.02,1,11.855,4.21,19.875
"WatsCh00","Christian Watson","WR","GB",1,100,11.762,11.2,3.9,19.33,3.9,19.33,0.05,1,11.762,3.9,19.33
