"team","week","n_simulations","mean","median","p15","p85","floor","ceiling"
"LAR",1,100,121.3823,121.195,97.414,147.3605,97.414,147.3605
"NYG",1,100,114.7785,111.22,90.0725,144.3335,90.0725,144.3335
"BAL",1,100,114.7627,114.145,93.324,138.0805,93.324,138.0805
"CAR",1,100,113.0078,111.485,86.8465,139.92,86.8465,139.92
"LAC",1,100,112.0718,111.19,92.938,134.386,92.938,134.386
"CIN",1,100,108.9799,109.185,84.0735,130.633,84.0735,130.633
"DAL",1,100,108.6053,105.63,84.8865,133.1395,84.8865,133.1395
"IND",1,100,108.0208,105.25,79.504,137.919,79.504,137.919
"LV",1,100,106.9275,103.735,87.134,134.1145,87.134,134.1145
"MIN",1,100,105.74,105.955,83.931,126.561,83.931,126.561
"PIT",1,100,105.2335,99.47,79.6485,137.4125,79.6485,137.4125
"BUF",1,100,105.1172,104.955,77.1375,135.7415,77.1375,135.7415
"PHI",1,100,104.3987,100.355,81.977,125.3085,81.977,125.3085
"SF",1,100,104.323,101.665,78.899,126.9365,78.899,126.9365
"DET",1,100,102.6442,101.32,81.177,126.663,81.177,126.663
"CHI",1,100,100.9946,100.28,82.3035,122.2765,82.3035,122.2765
"SEA",1,100,100.3351,99.685,81.3575,122.03,81.3575,122.03
"JAX",1,100,100.1366,101.02,72.7795,120.449,72.7795,120.449
"TB",1,100,100.0214,97.51,73.5205,124.5235,73.5205,124.5235
"HOU",1,100,99.8913,100.595,79.838,122.809,79.838,122.809
"NO",1,100,98.6965,97.975,76.112,122.4465,76.112,122.4465
"NE",1,100,97.9895,97.485,71.6955,121.056,71.6955,121.056
"DEN",1,100,97.5987,98.915,75.523,119.677,75.523,119.677
"KC",1,100,96.6547,94.085,76.403,116.47,76.403,116.47
"WAS",1,100,92.5533,89.75,70.4905,117.458,70.4905,117.458
"MIA",1,100,92.1207,90.275,68.75,114.093,68.75,114.093
"NYJ",1,100,89.2628,90.025,65.6935,108.728,65.6935,108.728
"TEN",1,100,89.1348,87.7,67.4895,111.5245,67.4895,111.5245
"GB",1,100,88.8577,86.96,63.1495,112.858,63.1495,112.858
"ATL",1,100,88.3402,86.6,66.2955,111.369,66.2955,111.369
"CLE",1,100,84.1887,82.725,63.5345,108.895,63.5345,108.895
"ARI",1,100,80.0804,79.315,61.188,98.8385,61.188,98.8385
