"away_team","home_team","n_simulations","expected_margin","median_margin","p15_margin","p85_margin","away_win_probability","home_win_probability","tie_probability","predicted_winner"
"NE","SEA",10000,1.05018639745642,1,-13,15,0.4549,0.5138,0.0313,"SEA"
"SF","LA",10000,-1.02815463606853,-1,-15,13,0.5185,0.4556,0.0259,"SF"
"CHI","CAR",10000,-3.21277281542736,-3,-18,11,0.5778,0.3961,0.0261,"CHI"
"TB","CIN",10000,-3.39978809877217,-3,-18,11,0.5808,0.3901,0.0291,"TB"
"NO","DET",10000,6.09230364938348,6,-8,20,0.3158,0.6582,0.026,"DET"
"BUF","HOU",10000,-1.68535070775183,-1,-16,13,0.5319,0.4411,0.027,"BUF"
"BAL","IND",10000,2.34147793230785,2,-12,16,0.423,0.548,0.029,"IND"
"CLE","JAX",10000,5.25887583626997,5,-9,19,0.3361,0.6378,0.0261,"JAX"
"ATL","PIT",10000,-4.75121611356532,-5,-19,9,0.6195,0.3543,0.0262,"ATL"
"NYJ","TEN",10000,-0.260294737408381,0,-15,14,0.4966,0.4729,0.0305,"NYJ"
"ARI","LAC",10000,6.40195592893454,7,-8,21,0.304,0.6721,0.0239,"LAC"
"MIA","LV",10000,1.97227212469347,2,-12,16,0.4276,0.5441,0.0283,"LV"
"GB","MIN",10000,-3.07784035120235,-3,-18,11,0.5811,0.3912,0.0277,"GB"
"WAS","PHI",10000,3.19948463992585,4,-11,17,0.3842,0.5886,0.0272,"PHI"
"DAL","NYG",10000,-2.92988603116842,-3,-17,11,0.5752,0.3936,0.0312,"DAL"
"DEN","KC",10000,3.76340452063626,4,-10,18,0.3803,0.592,0.0277,"KC"
