"player_id","player_name","position","team","week","n_simulations","mean","median","floor","ceiling","p15","p85","probability_zero","probability_active","active_mean","active_p15","active_p85"
"3918298","Josh Allen","QB","BUF",1,10000,22.742326,21.32,13.5,32.84,13.5,32.84,0.0172,0.9828,23.1403398453398,13.92,32.84
"3916387","Lamar Jackson","QB","BAL",1,10000,22.348623,20.62,12.86,31.03,12.86,31.03,0,1,22.348623,12.86,31.03
"4360310","Trevor Lawrence","QB","JAX",1,10000,20.698126,20.67,11.44,31.62,11.44,31.62,0,1,20.698126,11.44,31.62
"4429795","Jahmyr Gibbs","RB","DET",1,10000,20.680478,19.7,7,32.1,7,32.1,0.0013,0.9987,20.707397616902,7,32.1
"3915511","Joe Burrow","QB","CIN",1,10000,20.67406,20.06,12,29.9,12,29.9,1e-04,0.9999,20.6761276127613,12,29.9
"4426348","Jayden Daniels","QB","WAS",1,10000,20.416675,20,11.06,30.48,11.06,30.48,0.043,0.957,21.3340386624869,12.04,30.48
"4431611","Caleb Williams","QB","CHI",1,10000,20.270291,19.7,10.96,30.18,10.96,30.18,0,1,20.270291,10.96,30.18
"3139477","Patrick Mahomes","QB","KC",1,10000,20.225374,20.04,10.96,30.28,10.96,30.28,0,1,20.225374,10.96,30.28
"2577417","Dak Prescott","QB","DAL",1,10000,20.224025,19.34,10.96,29.92,10.96,29.92,1e-04,0.9999,20.2260476047605,10.96,29.92
"4431452","Drake Maye","QB","NE",1,10000,19.971819,19.74,9.92,29.92,9.92,29.92,0.0358,0.9642,20.7133571873055,11.42,30.24
"4689114","Jaxson Dart","QB","NYG",1,10000,19.597968,19.36,10.14,29.08,10.14,29.08,1e-04,0.9999,19.5999279927993,10.14,29.08
"12483","Matthew Stafford","QB","LA",1,10000,19.321123,18.92,9.96,28.9,9.96,28.9,0,1,19.321123,9.96,28.9
"4040715","Jalen Hurts","QB","PHI",1,10000,19.240325,19.22,8.79,29.84,8.79,29.84,0.0786,0.9214,20.8816203603213,11.6,30.18
"4038941","Justin Herbert","QB","LAC",1,10000,19.006936,18.92,8.06,29.76,8.06,29.76,0.0604,0.9396,20.2287526607067,10.73,29.9
"4430807","Bijan Robinson","RB","ATL",1,10000,18.926766,17.9,7,29.8,7,29.8,0,1,18.926766,7,29.8
"4361741","Brock Purdy","QB","SF",1,10000,18.925468,18.5,9.86,27.88,9.86,27.88,0,1,18.925468,9.86,27.88
"3117251","Christian McCaffrey","RB","SF",1,10000,18.575262,17.2,7.3,28.9,7.3,28.9,0.0116,0.9884,18.7932638607851,7.9,28.9
"4426338","Bo Nix","QB","DEN",1,10000,17.432442,16.8,8.9,26.3869999999999,8.9,26.3869999999999,0,1,17.432442,8.9,26.3869999999999
"3929630","Saquon Barkley","RB","PHI",1,10000,17.374646,16.1,7.9,26.9,7.9,26.9,0.0022,0.9978,17.4129544998998,7.9,26.9
"3052587","Baker Mayfield","QB","TB",1,10000,17.205698,16.82,8.67099999999999,26,8.67099999999999,26,0,1,17.205698,8.67099999999999,26
"3046779","Jared Goff","QB","DET",1,10000,17.002473,16.48,8.9,26.34,8.9,26.34,0,1,17.002473,8.9,26.34
"4360689","Tyler Shough","QB","NO",1,10000,16.356831,16.24,8,25.14,8,25.14,0,1,16.356831,8,25.14
"4890973","Ashton Jeanty","RB","LV",1,10000,15.909338,14.1,7.5,25.8,7.5,25.8,1e-04,0.9999,15.9109290929093,7.5,25.8
"3912547","Sam Darnold","QB","SEA",1,10000,15.892034,15.58,7,25.24,7,25.24,0.0011,0.9995,15.899983991996,7.06,25.24
"4426515","Puka Nacua","WR","LA",1,10000,15.515224,15.4,6.1,24.7,6.1,24.7,0.0034,0.9966,15.5681557294802,6.1,24.7
"4567048","Kenneth Walker","RB","KC",1,10000,15.497406,13.92,6.88499999999999,25.6,6.88499999999999,25.6,0.0075,0.9925,15.614514861461,6.9,25.6
"4427366","Breece Hall","RB","NYJ",1,10000,15.11592,13.6,6.6,24.8,6.6,24.8,0,1,15.11592,6.6,24.8
"4362628","Ja'Marr Chase","WR","CIN",1,10000,14.939778,13.9,4.8,24.7,4.8,24.7,0.0732,0.9271,16.114527019739,6.1,24.8
"4036378","Jordan Love","QB","GB",1,10000,14.679812,14.82,0,25.92,0,25.92,0.1339,0.8705,16.8636553704767,6.7,26.92
"4685382","Omarion Hampton","RB","LAC",1,10000,14.65962,12.8,6.9,24.3299999999999,6.9,24.3299999999999,0,1,14.65962,6.9,24.3299999999999
"4374302","Amon-Ra St Brown","WR","DET",1,10000,14.56094,13.7,5.5,24.1,5.5,24.1,0.006,1,14.56094,5.5,24.1
"4870808","Jeremiyah Love","RB","ARI",1,10000,14.47829,13.1,5.6,23.8,5.6,23.8,0,1,14.47829,5.6,23.8
"4430878","Jaxon Smith-Njigba","WR","SEA",1,10000,14.400232,13.6,4.6,24.4,4.6,24.4,0.075,0.9291,15.4991195780863,5.7,24.6
"4362238","Chase Brown","RB","CIN",1,10000,14.38433,12.8,6.6,22.9,6.6,22.9,0,1,14.38433,6.6,22.9
"3917315","Kyler Murray","QB","MIN",1,10000,14.374759,14.56,0,25.46,0,25.46,0.1487,0.8547,16.8184848484849,6.96,26.342
"4432577","CJ Stroud","QB","HOU",1,10000,14.246751,14.3,1.16,24.7,1.16,24.7,0.0518,0.9571,14.8853317312715,3.08,24.98
"4241389","CeeDee Lamb","WR","DAL",1,10000,14.231594,13,5.5,23.8,5.5,23.8,0.0224,0.9945,14.3103006535948,5.5,23.8
"4360423","Michael Penix","QB","ATL",1,10000,14.124108,13.32,4.18,23.72,4.18,23.72,0,1,14.124108,4.18,23.72
"2578570","Jacoby Brissett","QB","ARI",1,10000,13.954684,13.58,3.28,23.6,3.28,23.6,0.0017,1,13.954684,3.28,23.6
"4429160","De'Von Achane","RB","MIA",1,10000,13.9152,12.5,4.4,24.3,4.4,24.3,0.0643,0.9357,14.8714331516512,5.7,24.8
"4430737","Kyren Williams","RB","LA",1,10000,13.879956,12.5,4.9,23.1,4.9,23.1,0.0048,0.9952,13.9469011254019,5,23.1
"4379399","James Cook","RB","BUF",1,10000,13.662174,12.5,0,25.3,0,25.3,0.1673,0.8327,16.4070781794164,6.9,26.8
"3917792","Daniel Jones","QB","IND",1,10000,13.633904,13.455,0.12,24.98,0.12,24.98,0.1074,0.9018,15.1185451319583,3.155,25.59
"4239996","Travis Etienne","RB","NO",1,10000,13.62925,12.4,5,22.5,5,22.5,0,1,13.62925,5,22.5
"15864","Geno Smith","QB","NYJ",1,10000,13.360162,13.24,0.8,24.02,0.8,24.02,0.0297,0.9856,13.5553591720779,1.16,24.145
"4685720","Bryce Young","QB","CAR",1,10000,13.314321,13.23,0.2,24.303,0.2,24.303,0.0802,0.9313,14.2964898528938,1.8,24.98
"4258173","Nico Collins","WR","HOU",1,10000,13.264312,12.2,4.7,22.5,4.7,22.5,0.0375,0.9862,13.4499209085378,4.8,22.6
"4361579","Javonte Williams","RB","DAL",1,10000,13.261834,11.9,4.6,21.6,4.6,21.6,0.001,0.999,13.2751091091091,4.6,21.6
"4241478","Devonta Smith","WR","PHI",1,10000,13.218088,12.3,4.9,23,4.9,23,0.0219,1,13.218088,4.9,23
"4241479","Tua Tagovailoa","QB","ATL",1,10000,13.123526,13.06,1.88,23.6,1.88,23.6,0.0031,1,13.123526,1.88,23.6
"4372016","Jaylen Waddle","WR","DEN",1,10000,13.121772,12,4.7,23.2,4.7,23.2,0.0176,1,13.121772,4.7,23.2
"4242335","Jonathan Taylor","RB","IND",1,10000,13.0794,12,0,25.8,0,25.8,0.2279,0.7721,16.9400336743945,7,27.4
"4612826","Ladd McConkey","WR","LAC",1,10000,13.033226,12.2,4.9,22.2,4.9,22.2,0.0216,1,13.033226,4.9,22.2
"4361370","Chris Olave","WR","NO",1,10000,13.01952,11.1,4.8,21.3,4.8,21.3,0.0362,1,13.01952,4.8,21.3
"4047646","AJ Brown","WR","NE",1,10000,12.904016,11.9,4,22.6,4,22.6,0.0702,0.9511,13.5674650404794,4.9,23.1
"4685278","Luther Burden","WR","CHI",1,10000,12.817946,11.2,4.8,22.5,4.8,22.5,0.0137,1,12.817946,4.8,22.5
"4567750","Emeka Egbuka","WR","TB",1,10000,12.743676,11.7,4.7,22.2,4.7,22.2,0.0261,0.9961,12.7935709266138,4.7,22.2
"4259545","D'Andre Swift","RB","CHI",1,10000,12.59958,10.8,4.4,21,4.4,21,0,1,12.59958,4.4,21
"4428331","Rashee Rice","WR","KC",1,10000,12.556966,11.7,3.58499999999999,22.5,3.58499999999999,22.5,0.0876,0.9349,13.4313466680928,4.9,23
"4596448","Bucky Irving","RB","TB",1,10000,12.394304,10.5,4.3,21.1,4.3,21.1,3e-04,0.9998,12.3967833566713,4.3,21.1
"4239993","Tee Higgins","WR","CIN",1,10000,12.368518,11.1,4.3,21.6,4.3,21.6,0.0307,0.9944,12.4381717618665,4.4,21.6
"3122840","Deshaun Watson","QB","CLE",1,10000,12.340261,11.86,0.713999999999996,23.4,0.713999999999996,23.4,0.0121,1,12.340261,0.713999999999996,23.4
"4688380","Cameron Ward","QB","TEN",1,10000,12.279276,11.98,0,23.68,0,23.68,0.1132,0.903,13.5983122923588,0.693999999999996,24.24
"4685472","Tetairoa McMillan","WR","CAR",1,10000,12.263852,10.8,4.2,21.2,4.2,21.2,0.0355,0.9921,12.3615079125088,4.3,21.3
"4035538","David Montgomery","RB","HOU",1,10000,12.23233,10.1,4.4,21,4.4,21,0,1,12.23233,4.4,21
"4595348","Malik Nabers","WR","NYG",1,10000,12.188322,11.9,4.3,20.9,4.3,20.9,0.0417,1,12.188322,4.3,20.9
"4426354","George Pickens","WR","DAL",1,10000,12.181354,10.8,3,22.3,3,22.3,0.1086,0.9094,13.3949351220585,4.8,23.1
"4696981","Cam Skattebo","RB","NYG",1,10000,12.062812,10.4,3.8,20.8,3.8,20.8,0.0297,0.9715,12.4166875965003,4.2,21
"4429615","Zay Flowers","WR","BAL",1,10000,12.054628,10.9,3.5,21.6,3.5,21.6,0.0664,0.9548,12.6252911604525,4.4,22
"4569618","Garrett Wilson","WR","NYJ",1,10000,12.053108,11.9,4.48499999999999,20.3,4.48499999999999,20.3,0.0354,1,12.053108,4.48499999999999,20.3
"16800","Davante Adams","WR","LA",1,10000,12.021416,10.5,3.8,20.8,3.8,20.8,0.0386,0.9886,12.1600404612583,4.1,21.1
"4038815","Rico Dowdle","RB","PIT",1,10000,12.00727,9.7,4.7,21.2,4.7,21.2,0,1,12.00727,4.7,21.2
"4047365","Josh Jacobs","RB","GB",1,10000,11.89203,10.1,2.8,21.2,2.8,21.2,0.076,0.9252,12.8534695201038,4.3,21.9
"4882093","Bhayshul Tuten","RB","JAX",1,10000,11.842732,9.95,4.1,20.6,4.1,20.6,1e-04,1,11.842732,4.1,20.6
"4432762","Shedeur Sanders","QB","CLE",1,10000,11.835174,11.46,0.36,22.63,0.36,22.63,0.0269,0.9915,11.9366354009077,0.48,22.64
"3121422","Terry McLaurin","WR","WAS",1,10000,11.826578,10.4,4.1,19.6,4.1,19.6,0.0283,1,11.826578,4.1,19.6
"4431459","Tyler Warren","TE","IND",1,10000,11.734337,9.85,4.45,20.05,4.45,20.05,0.0091,0.9983,11.7543193428829,4.45,20.05
"3915416","DJ Moore","WR","BUF",1,10000,11.712692,10.4,4.4,18.7,4.4,18.7,0.0228,1,11.712692,4.4,18.7
"4426388","Jameson Williams","WR","DET",1,10000,11.67256,10.2,3.7,19.715,3.7,19.715,0.0374,0.9904,11.7857027463651,3.8,20.1
"4242512","Malik Willis","QB","MIA",1,10000,11.508697,10.94,0,23.6,0,23.6,0.2053,0.8058,14.2823243981137,1.26,25.085
"4432710","TreVeyon Henderson","RB","NE",1,10000,11.37584,9.3,3.9,19.7,3.9,19.7,0,1,11.37584,3.9,19.7
"16737","Mike Evans","WR","SF",1,10000,11.339492,9.8,4.3,18.6,4.3,18.6,0.0289,1,11.339492,4.3,18.6
"8439","Aaron Rodgers","QB","PIT",1,10000,11.303818,10.42,0,23.16,0,23.16,0.1558,0.8641,13.0816086101146,0.58,24.03
