"team","week","n_simulations","mean","median","p15","p85","floor","ceiling"
"KC",1,10000,92.428886,91.17,68.7885,115.7145,68.7885,115.7145
"DET",1,10000,86.639708,85.55,63.8785,109.46,63.8785,109.46
"ATL",1,10000,86.463756,85.4,62.6985,110.963,62.6985,110.963
"SF",1,10000,86.14453,84.71,64.08,108.236,64.08,108.236
"DEN",1,10000,86.038026,84.295,63.56,108.91,63.56,108.91
"JAX",1,10000,85.812979,84.895,63.79,107.65,63.79,107.65
"BUF",1,10000,83.418944,82.22,60.7485,105.9415,60.7485,105.9415
"DAL",1,10000,83.397964,82.18,61.1785,106.033,61.1785,106.033
"LA",1,10000,83.241473,81.995,61.7885,104.806,61.7885,104.806
"TB",1,10000,83.153619,81.355,60.324,106.2715,60.324,106.2715
"PHI",1,10000,80.499111,79.525,58.1,103.0815,58.1,103.0815
"LAC",1,10000,80.43205,79.25,58.35,102.5,58.35,102.5
"GB",1,10000,79.419137,78.02,56.4955,102.8115,56.4955,102.8115
"NE",1,10000,77.242481,75.95,55.9985,98.6815,55.9985,98.6815
"CHI",1,10000,77.145976,75.94,55.797,98.01,55.797,98.01
"IND",1,10000,76.343189,74.83,52.4085,100.633,52.4085,100.633
"SEA",1,10000,75.972405,74.605,54.39,97.7,54.39,97.7
"WAS",1,10000,75.700513,74.25,54.3185,97.2815,54.3185,97.2815
"CLE",1,10000,75.199565,73.95,52.2485,98.233,52.2485,98.233
"HOU",1,10000,74.424913,73.13,52.9685,96.29,52.9685,96.29
"BAL",1,10000,73.967225,72.46,52.22,95.88,52.22,95.88
"NO",1,10000,73.67306,72.49,53.4785,94.1115,53.4785,94.1115
"NYG",1,10000,70.889912,70.06,51.01,90.5915,51.01,90.5915
"NYJ",1,10000,70.557775,69.16,49.467,92.023,49.467,92.023
"CIN",1,10000,69.31877,68.26,49.9,88.84,49.9,88.84
"PIT",1,10000,68.813068,67.61,47.0885,90.95,47.0885,90.95
"ARI",1,10000,66.59108,65.26,45.9885,87.2,45.9885,87.2
"MIN",1,10000,66.493327,65.01,44.047,88.9315,44.047,88.9315
"TEN",1,10000,65.587476,64.15,44.837,86.27,44.837,86.27
"CAR",1,10000,63.839176,62.35,42.95,84.7445,42.95,84.7445
"LV",1,10000,59.876726,58.375,38.427,81.7,38.427,81.7
"MIA",1,10000,58.543237,57.075,37.99,79.6315,37.99,79.6315
