scope,scope_value,model,n,p15_coverage,p50_coverage,p85_coverage,p15_pinball_loss,p50_pinball_loss,p85_pinball_loss,p50_mae,p50_bias,interval_coverage,interval_width,quantile_crossing_count,scoring_format,scoring_contract_version,position,season
overall,all,xgboost_v2,9376,0.3455631399317406,0.6141211604095563,0.8748933447098977,1.2070306225172618,2.312838011744079,1.6377358133217683,4.625676023488158,-0.03242115398112416,0.529330204778157,11.020984938917698,0,PPR,ppr_v1,,
overall,all,ffsimulator,9376,0.2881825938566553,0.5837244027303754,0.8666808873720137,1.1301425874573379,2.540323698805461,1.8161572898890785,5.080647397610922,-0.5596533703071672,0.6837670648464164,12.661246906996587,0,PPR,ppr_v1,,
position,position=QB,xgboost_v2,987,0.1691995947315096,0.47619047619047616,0.8368794326241135,1.7283197634790204,3.126828365200317,1.9024020747500714,6.253656730400634,-0.7224499806807032,0.6676798378926039,14.97564128648184,0,PPR,ppr_v1,QB,
position,position=QB,ffsimulator,987,0.17325227963525835,0.49645390070921985,0.8277608915906788,1.7843679837892603,3.2436170212765956,1.937327051671733,6.487234042553191,-0.435339412360689,0.6545086119554204,15.66419452887538,0,PPR,ppr_v1,QB,
position,position=RB,xgboost_v2,2478,0.321226795803067,0.6049233252623083,0.8728813559322034,1.0333017887544604,2.198771346545777,1.6064946431215008,4.397542693091554,-0.5392351347270562,0.5516545601291364,10.913477214592975,0,PPR,ppr_v1,RB,
position,position=RB,ffsimulator,2478,0.30145278450363194,0.5980629539951574,0.8668280871670703,1.1329611783696527,2.6217231638418075,1.9026783898305084,5.243446327683615,-0.6952138821630346,0.6170298627925747,12.7823805488297,0,PPR,ppr_v1,RB,
position,position=TE,xgboost_v2,2282,0.44347063978965817,0.6546888694127958,0.8860648553900088,1.0707953014460496,1.8363695988887034,1.371008243911837,3.672739197777407,0.3028200273133494,0.44259421560035056,8.446857217160575,0,PPR,ppr_v1,TE,
position,position=TE,ffsimulator,2282,0.33041191936897457,0.5854513584574934,0.8641542506573181,0.7591667397020156,1.8954031551270814,1.462399364592463,3.7908063102541627,-0.8566170026292725,0.7712532865907099,9.52120902716915,0,PPR,ppr_v1,TE,
position,position=WR,xgboost_v2,3629,0.3485808762744558,0.6324056213833011,0.8795811518324608,1.2695483052451406,2.4689552990507906,1.7548100302189829,4.937910598101581,0.29051164307782207,0.531000275558005,11.637495764732138,0,PPR,ppr_v1,WR,
position,position=WR,ffsimulator,3629,0.2838247451088454,0.5965830807384954,0.8787544778175806,1.1835627996693305,2.699003857812069,1.9465738633232297,5.398007715624138,-0.3141609258748967,0.6822816202810692,13.736333149627995,0,PPR,ppr_v1,WR,
season,season=2024,xgboost_v2,4569,0.350623768877216,0.6086671043992121,0.8616765156489385,1.2017778531410963,2.2875505433267302,1.6267382535600488,4.5751010866534605,-0.3196179969776744,0.5110527467717225,10.594554494236387,0,PPR,ppr_v1,,2024.0
season,season=2024,ffsimulator,4569,0.3046618516086671,0.602757715036113,0.8769971547384549,1.1049466294594001,2.5007113153862988,1.780118767782885,5.0014226307725975,-0.3605821842854016,0.6830816371197198,12.750836506894288,0,PPR,ppr_v1,,2024.0
season,season=2025,xgboost_v2,4807,0.3407530684418556,0.6193051799459122,0.8874557936342833,1.212023321348071,2.3368734690352935,1.6481888714768127,4.673746938070587,0.24055624890034824,0.5467027251924277,11.42630233058587,0,PPR,ppr_v1,,2025.0
season,season=2025,ffsimulator,4807,0.272519242770959,0.5656334512169753,0.8568753900561681,1.1540910651133762,2.5779748283752864,1.8504115040565843,5.155949656750573,-0.7488683170376533,0.6844185562721031,12.576092989390471,0,PPR,ppr_v1,,2025.0
season_position,"season=2024,position=QB",xgboost_v2,483,0.16563146997929606,0.494824016563147,0.8240165631469979,1.6824044403565843,3.095877432181475,1.954450120882465,6.19175486436295,-0.7351323423523833,0.6583850931677019,14.620646012742574,0,PPR,ppr_v1,QB,2024.0
season_position,"season=2024,position=QB",ffsimulator,483,0.16770186335403728,0.5175983436853002,0.8364389233954451,1.7191390269151137,3.2010869565217392,1.9613844720496894,6.4021739130434785,-0.43190476190476196,0.6687370600414079,15.660122153209109,0,PPR,ppr_v1,QB,2024.0
season_position,"season=2024,position=RB",xgboost_v2,1191,0.3459277917716205,0.6213266162888329,0.8572628043660789,1.0164122301902117,2.1548520087515177,1.554382141825134,4.3097040175030354,-0.48571432385096325,0.5113350125944585,10.317249192974328,0,PPR,ppr_v1,RB,2024.0
season_position,"season=2024,position=RB",ffsimulator,1191,0.33837111670864817,0.6230058774139379,0.8866498740554156,1.1075834592779177,2.542363560033585,1.8054127204030226,5.08472712006717,-0.16702770780856424,0.5919395465994962,13.011639798488664,0,PPR,ppr_v1,RB,2024.0
season_position,"season=2024,position=TE",xgboost_v2,1158,0.47322970639032813,0.6640759930915371,0.8765112262521589,1.086265738954404,1.7878816770971953,1.3236076853230005,3.5757633541943905,0.29420303351314986,0.40328151986183075,7.709540805565466,0,PPR,ppr_v1,TE,2024.0
season_position,"season=2024,position=TE",ffsimulator,1158,0.3609671848013817,0.6234887737478411,0.8756476683937824,0.7119844559585492,1.8087823834196888,1.4011353195164078,3.6175647668393776,-0.5049913644214162,0.7806563039723662,9.455231433506045,0,PPR,ppr_v1,TE,2024.0
season_position,"season=2024,position=WR",xgboost_v2,1737,0.3235463442717329,0.5947035118019574,0.8652849740932642,1.2722389029612529,2.4868819275846685,1.7873119410546126,4.973763855169337,-0.4994053309939686,0.5417386298215314,11.588517799846953,0,PPR,ppr_v1,WR,2024.0
season_position,"season=2024,position=WR",ffsimulator,1737,0.2820955670696603,0.5987334484743811,0.8825561312607945,1.194327633851468,2.738687392055268,1.9650274611398963,5.477374784110536,-0.3771905584340818,0.6845135290731146,13.96011053540587,0,PPR,ppr_v1,WR,2024.0
season_position,"season=2025,position=QB",xgboost_v2,504,0.17261904761904762,0.4583333333333333,0.8492063492063492,1.7723219481380215,3.1564896760100405,1.8525226972065276,6.312979352020081,-0.7102960507453433,0.6765873015873016,15.31584509048197,0,PPR,ppr_v1,QB,2025.0
season_position,"season=2025,position=QB",ffsimulator,504,0.17857142857142858,0.47619047619047616,0.8194444444444444,1.8468790674603175,3.2843750000000003,1.914272023809524,6.5687500000000005,-0.4386309523809523,0.6408730158730159,15.66809722222222,0,PPR,ppr_v1,QB,2025.0
season_position,"season=2025,position=RB",xgboost_v2,1287,0.29836829836829837,0.5897435897435898,0.8873348873348873,1.0489315201064577,2.239414649819253,1.6547199648339894,4.478829299638506,-0.5887637172860515,0.5889665889665889,11.465231351149157,0,PPR,ppr_v1,RB,2025.0
season_position,"season=2025,position=RB",ffsimulator,1287,0.26728826728826727,0.574980574980575,0.8484848484848485,1.1564459207459208,2.69516317016317,1.9926888111888115,5.39032634032634,-1.184001554001554,0.6402486402486403,12.570222222222222,0,PPR,ppr_v1,RB,2025.0
season_position,"season=2025,position=TE",xgboost_v2,1124,0.4128113879003559,0.645017793594306,0.8959074733096085,1.054856896966802,1.8863242371756834,1.4198426272266702,3.772648474351367,0.3116976775096404,0.4830960854092527,9.20647679423098,0,PPR,ppr_v1,TE,2025.0
