season,week,fbg_id,player_name,position,team,stable_player_id,actual_score,actual_record,actual_score_imputed,top_projected,match_method,override_reason,error_type,severity,resolution_notes
2023,1,AlleJo01,Josh Allen,QB,BUF,00-0034857,9.04,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,MahoPa00,Patrick Mahomes II,QB,KC,00-0033873,19.54,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,McCaCh00,Christian McCaffrey,RB,SF,00-0033280,25.9,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,DiggSt00,Stefon Diggs,WR,WAS,00-0031588,26.2,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,FielJu00,Justin Fields,QB,KC,00-0036945,14.54,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,MayfBa00,Baker Mayfield,QB,TB,00-0034855,16.02,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,EtieTr00,Travis Etienne Jr.,RB,NO,00-0036973,21.4,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,StevRh00,Rhamondre Stevenson,RB,NE,00-0036875,14.9,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,JoneMa04,Mac Jones,QB,SF,00-0036972,24.14,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,AlleKe00,Keenan Allen,WR,IND,00-0030279,14.2,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,OlavCh00,Chris Olave,WR,NO,00-0037239,19.2,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,GainKe00,Kenny Gainwell,RB,TB,00-0036919,11.4,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,SamuDe00,Deebo Samuel Sr.,WR,SF,00-0035719,11.3,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,GodwCh00,Chris Godwin Jr.,WR,TB,00-0033921,10.1,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,BrowAJ00,A.J. Brown,WR,NE,00-0035676,14.9,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,SmitDe04,DeVonta Smith,WR,PHI,00-0036912,17.7,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,WilsZa00,Zach Wilson,QB,NO,00-0037013,8.2,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,DobbJo00,Joshua Dobbs,QB,DET,00-0033949,0.98,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,WalkKe01,Ken Walker III,RB,KC,00-0038134,10.7,1,False,True,manual_override,FBG uses Ken Walker and a stale KC team in the historical export,master_name_conflict,Warning,manual_override_applied;master_name_conflict
2023,1,HarrNa00,Najee Harris,RB,NYG,00-0036893,5.3,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,AtweTu00,Tutu Atwell,WR,LA,00-0036849,17.9,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,BrowMa05,Hollywood Brown,WR,PHI,00-0035662,8.7,1,False,True,manual_override,FBG uses Hollywood Brown and a stale PHI team in the historical export,master_name_conflict,Warning,manual_override_applied;master_name_conflict
2023,1,MoorSk00,Skyy Moore,WR,GB,00-0038090,0.4,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,OkonCh00,Chig Okonkwo,TE,WAS,00-0037809,0.0,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,KirkCh00,Christian Kirk,WR,SF,00-0034775,1.9,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,GrayNo00,Noah Gray,TE,KC,00-0036637,6.1,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,BoutKa00,Kayshon Boutte,WR,HOU,00-0038608,0.0,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,SlayDa00,Darius Slayton,WR,NYG,00-0035535,4.5,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,GibbJa00,Jahmyr Gibbs,RB,DET,00-0039139,8.0,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,MusgLu00,Luke Musgrave,TE,GB,00-0039144,8.0,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,MillKe00,Kendre Miller,RB,NO,00-0038551,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2023,1,HenrHu00,Hunter Henry,TE,NE,00-0033090,16.6,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,WallDa00,Darren Waller,TE,CAR,00-0031610,6.6,1,False,True,master_name_position,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,DoubRo00,Romeo Doubs,WR,NE,00-0037816,18.6,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,OttoCa00,Cade Otton,TE,TB,00-0038129,3.9,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,PalmJo01,Joshua Palmer,WR,BUF,00-0036988,1.4,1,False,False,master_name_position,,master_name_conflict,Info,master_name_conflict
2023,1,SmitJa02,Jaxon Smith-Njigba,WR,SEA,00-0038543,4.3,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,FantNo00,Noah Fant,TE,NO,00-0035644,0.0,0,True,True,master_name_position,,crosswalk_fields_disagree;no_actual_weekly_record;actual_score_created_from_missing_record,Warning,crosswalk_fields_disagree
2023,1,DougDe00,DeMario Douglas,WR,NE,00-0038621,8.0,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,PalmTr00,Trey Palmer,WR,NO,00-0039052,8.8,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,HollMa00,Mack Hollins,WR,NE,00-0033555,6.1,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,TuckSe00,Sean Tucker,RB,TB,00-0038951,4.4,1,False,True,weekly_stats_name_position_team,,crosswalk_fields_disagree,Warning,crosswalk_fields_disagree
2023,1,JohnQu01,Quentin Johnston,WR,LAC,00-0038544,2.9,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,RiceRa01,Rashee Rice,WR,KC,00-0039067,11.6,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,ParkCo00,Colby Parkinson,TE,LA,00-0036244,1.8,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,JuszKy00,Kyle Juszczyk,RB,SF,00-0029892,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,gsis_id_not_in_master
2023,1,IngoAl00,Alec Ingold,RB,LAC,00-0035125,0.0,0,True,False,manual_override,Top-player gate override because the historical FBG row uses a stale LAC team while the weekly roster identifies Alec Ingold as RB 00-0035125 for MIA,no_actual_weekly_record;actual_score_created_from_missing_record,Info,manual_override_applied;gsis_id_not_in_master
2023,1,JohnBr03,Brandon Johnson,WR,PIT,,,0,False,False,unmatched,,no_unique_gsis_id;no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2023,1,WashDa02,Darnell Washington,TE,PIT,00-0038558,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2023,1,MoreFo00,Foster Moreau,TE,HOU,00-0034981,0.0,0,True,False,master_name_position,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2023,1,DallDe00,DeeJay Dallas,RB,MIN,00-0036425,2.8,1,False,False,master_name_position,,crosswalk_fields_disagree;master_team_context_differs,Info,crosswalk_fields_disagree;master_team_context_differs
2023,1,KiefKo00,Ko Kieft,TE,TB,00-0037311,0.0,1,False,False,weekly_stats_name_position_team,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,BoboJa00,Jake Bobo,WR,SEA,00-0038752,0.0,0,True,False,weekly_roster_name_position_team,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,
2023,1,HeywCo00,Connor Heyward,TE,LV,00-0037304,0.0,0,True,False,manual_override,Top-player gate override because the historical FBG row uses a stale LV team while the weekly roster identifies Connor Heyward as TE 00-0037304 for PIT,no_actual_weekly_record;actual_score_created_from_missing_record,Info,manual_override_applied;gsis_id_not_in_master
2023,1,ThomDe04,Deven Thompkins,WR,LV,00-0037487,3.0,1,False,False,master_name_position,,crosswalk_fields_disagree,Info,crosswalk_fields_disagree
2023,1,PrenAd00,Adam Prentice,RB,DEN,00-0036727,0.0,0,True,False,pfr_crosswalk_verified,,no_actual_weekly_record;actual_score_created_from_missing_record,Info,gsis_id_not_in_master
2023,1,MillSc01,Scotty Miller,WR,CHI,00-0035298,0.0,1,False,False,pfr_crosswalk_verified,,master_name_conflict,Info,master_name_conflict
